,C,N,P
DeadMic,0.0,0.0,0.0
DeadEnz,0.0,0.0,0.0
Cellulose,127.91341232699999,0.0,0.0
Hemicellulose,43.522405854,0.0,0.0
Starch,24.591928511000003,0.0,0.0
Chitin,10.461081962625201,1.7435276219498688,0.0
Lignin,39.12717801024794,0.32605981675206613,0.0
Protein1,13.982288224384055,2.7661714809492777,0.0
Protein2,13.982288224384055,2.7661714809492777,0.0
Protein3,13.982288224384055,2.7661714809492777,0.0
OrgP1,26.135951091760592,0.0,1.0020226268368269
OrgP2,3.807723259217877,1.670041201772795,1.0020226268368269
