,C,N,P
DeadMic,0.0,0.0,0.0
DeadEnz,0.0,0.0,0.0
Cellulose,98.36771404400001,0.0,0.0
Hemicellulose,67.22973262,0.0,0.0
Starch,38.037875035,0.0,0.0
Chitin,11.793961131608334,1.9656759289936743,0.0
Lignin,28.424227971570247,0.23686856642975207,0.0
Protein1,13.637654359698534,2.6979911979681335,0.0
Protein2,13.637654359698534,2.6979911979681335,0.0
Protein3,13.637654359698534,2.6979911979681335,0.0
OrgP1,29.466014358278354,0.0,1.1296934634608242
OrgP2,4.292877187998533,1.8828263741994444,1.129693463460824
